id,nombre,rut,edad,sexo,tienda
0,Catalina Luna,46251263-5,90,mujer,59
1,Sergio Galaz,92310665-0,47,hombre,50
2,Catalina Patino,77837095-6,55,mujer,88
3,Nicolas Henriquez,66922079-0,70,mujer,69
4,Magdalena Santibanez,79464991-k,74,hombre,66
5,Lisandro Pinto,22997103-4,42,mujer,80
6,Leonardo Bucarei,61890115-7,42,hombre,0
7,Sofia Pena,45347413-5,29,hombre,101
8,Valentina Gutierrez,54864080-6,75,hombre,45
9,Simoney Mora,86447590-6,26,hombre,50
10,Martin Bustos,45355149-0,54,hombre,34
11,Diego Caniullan,19942007-0,89,hombre,90
12,Yanara Carrasco,79263691-8,39,mujer,55
13,Karla Castillo,32165632-3,38,mujer,38
14,Yaimara Cisternas,66760004-9,83,hombre,79
15,Pamela Figueroa,49326776-0,91,mujer,71
16,Aritza Flores,97804380-1,67,mujer,5
17,Giordano Flores,83399209-0,20,hombre,55
18,Danae Gamboa,86260284-6,95,mujer,47
19,Diego Guajardo,19209075-k,74,mujer,50
20,Bayron Guzman,31653150-4,84,mujer,47
21,Gabriela Jimenez,64100872-9,26,hombre,62
22,Orlando Moraga,72629258-2,56,hombre,46
23,Matias Moreno,17263415-k,13,mujer,40
24,Matias Painequeo,18208603-7,85,mujer,93
25,Sayenn Pavez,90414316-2,26,mujer,70
26,Gonzalo Pino,16045471-7,88,mujer,89
27,Benjamin Quilacan,28792266-3,37,hombre,0
28,Millaray Ramos,68353685-7,56,hombre,30
29,Aaron Roa,99428020-1,83,mujer,41
30,Martin Rojas,24840265-2,66,hombre,46
31,Yael Salcedo,79850677-3,81,hombre,59
32,Caceres San,95741388-9,57,mujer,65
33,Lucas Santibanez,77210598-3,63,hombre,11
34,Luis Torres,96187015-1,57,mujer,46
35,Zithlali Ulloa,68120110-6,28,hombre,100
36,Javiera Vasquez,56619171-7,66,hombre,58
37,Jorge Zumelzu,51616764-5,15,mujer,22
38,Alan Aceiton,60916764-5,97,hombre,69
39,Paz Aguayo,81252987-0,41,mujer,12
40,Flores Al,59192155-k,67,hombre,66
41,Lucas Araya,41391265-2,81,hombre,92
42,Daniela Arriagada,76041278-3,75,mujer,43
43,Benjamin Barria,78158392-8,43,mujer,76
44,Franco Benavides,49995619-3,97,mujer,33
45,Genesis Cardenas,37156185-4,59,mujer,66
46,Sergio Cardenas,85410626-0,24,hombre,2
47,Antonio Carrasco,10116173-0,72,hombre,3
48,Ian Carrera,88757035-3,30,mujer,51
49,Barbara Carvajal,68583239-9,42,hombre,97
50,Ignacio Castillo,35492826-4,59,hombre,5
51,Alondra Chamorro,86683089-4,91,mujer,5
52,Francisca Colima,28320055-8,67,hombre,96
53,Constanza Conejeros,86043030-4,87,mujer,93
54,Ivanna Contreras,27604578-4,44,mujer,15
55,Martin Flores,35412165-4,78,mujer,35
56,Constanza Gomez,80869010-1,40,hombre,44
57,Franco Gomez,86555166-5,34,mujer,96
58,Javiera Grandin,61036645-7,10,hombre,39
59,Javier Hurtado,40373818-2,84,mujer,33
60,Lucas Jara,24149278-8,84,mujer,95
61,Benjamin Jeria,43161018-3,95,mujer,86
62,Felipe Jilberto,67938721-9,16,hombre,44
63,Constanza Jorquera,18768050-6,32,hombre,38
64,Javiera Lizama,49881324-0,54,hombre,46
65,Catalina Lopez,36578275-k,28,mujer,53
66,Isidora Loyola,92505908-0,83,hombre,16
67,Bruno Mardones,16483997-4,36,hombre,39
68,Antonella Molina,91957885-8,53,mujer,101
69,Escarlet Morales,85930746-9,31,hombre,30
70,Javier Moya,43630977-5,30,mujer,31
71,Xavier Oyarzun,70876733-6,62,hombre,27
72,Silvio Peralta,36731956-9,81,mujer,56
73,Yohao Portales,42127645-5,70,hombre,74
74,Cesia Ramos,38158176-4,85,mujer,65
75,Francisca Reyes,48292072-1,33,mujer,37
76,Benjamin Rodriguez,86434438-0,30,mujer,50
77,Juan Sanchez,62974576-9,86,mujer,80
78,Constanza Sepulveda,71881591-6,53,hombre,24
79,Lucas Vasquez,16670974-1,74,hombre,47
80,Matias Vega,19027799-2,52,hombre,32
81,Isidora Villarroel,36669949-k,98,mujer,33
82,Victoria Adasme,58179139-9,75,hombre,55
83,Alonso Agurto,80146994-9,41,mujer,52
84,Carlos Antifil,34902561-2,99,hombre,16
85,Maria Aranda,27811535-6,34,mujer,49
86,Ignacio Arias,37653211-9,17,hombre,89
87,Rocio Bernales,78734770-3,95,hombre,99
88,Amaro Bravo,82260254-1,70,mujer,53
89,SeBastian Bustos,92253121-8,34,hombre,92
90,Jacob Cartes,53325503-5,98,hombre,56
91,Martin Celis,27423756-2,84,hombre,86
92,Noelia Cid,56840142-5,21,hombre,64
93,Hugo Cordova,99233768-0,37,hombre,16
94,Rocio Cuello,95541819-0,30,hombre,72
95,Monserrat Echeverria,61773216-5,28,hombre,13
96,Fernando Escobar,13635178-8,14,hombre,11
97,Emily Farias,93310611-k,40,hombre,92
98,Isidora Fernandez,85073231-0,89,hombre,15
99,Antonella Garrido,41601315-2,49,mujer,0
100,Conzuelo Gonzalez,98121429-3,82,hombre,20
101,Josefa Huaiquil,80511365-0,53,mujer,64
102,Millaray Jimenez,62815723-5,88,hombre,46
103,Alondra Llanquimin,33734821-1,30,hombre,59
104,Fernando Lopez,25806104-7,76,hombre,29
105,Valeria Martinez,23514054-3,74,mujer,51
106,Alexia Matus,72309503-4,18,mujer,20
107,Martin Neculman,48908396-5,51,mujer,67
108,Isidora Orellana,71198104-7,90,hombre,79
109,Luis Pacheco,76534733-5,37,hombre,95
110,Carlos Pinto,73222374-6,31,mujer,82
111,Diego Plaza,28597225-6,25,mujer,34
112,Francisca Roblero,32700742-4,97,mujer,9
113,Padme Rodriguez,28118803-8,47,hombre,11
114,Benjamin Saavedra,34572846-5,34,mujer,47
115,Millaray Salazar,42723522-k,65,mujer,32
116,Deyanira Santander,15591154-9,73,mujer,84
117,Yasmin Suarez,16636734-4,73,mujer,45
118,Paloma Sucarrat,63795324-9,87,hombre,73
119,Kitzy Vega,65538426-k,53,mujer,79
120,Enygger Videla,62942419-9,45,hombre,70
121,Simona Vilches,33236616-5,98,mujer,79
122,Cristobal Yanka,31679088-7,44,hombre,27
123,Abigail Alarcon,82581279-2,48,mujer,14
124,Pablo Salazar,35069575-3,52,hombre,11
125,Antonio Salinas,99927220-7,83,hombre,47
126,Leandro Aravena,70106627-8,34,hombre,52
127,Anais Oyarzon,43953571-7,77,mujer,86
128,Victoria Toloza,51194123-7,73,mujer,31
129,Dominique Contreras,75490842-4,71,hombre,62
130,Alessandro Pizarro,64336012-8,25,hombre,44
131,Andrea Aguilar,54023774-3,11,mujer,25
132,Yadhira Cifuentes,45008209-0,97,mujer,20
133,Millaray Meza,40538537-6,89,mujer,30
134,Kiara Moya,12187269-2,46,mujer,72
135,Celine Yanez,27952560-4,74,hombre,77
136,Andrea Sanhueza,55823148-3,67,mujer,58
137,Danitza Castro,67978268-1,77,mujer,3
138,Shantal Munoz,99070181-4,75,mujer,8
139,Isidora Bravo,50042631-4,16,mujer,49
140,Matias Pichulpil,99466469-7,23,hombre,38
141,Kris Pena,36664523-3,12,mujer,5
142,Rayen Contreras,44812887-3,70,mujer,39
143,Yaritza Garcia,34643031-1,23,hombre,16
144,Ivan Sarmiento,21759577-0,47,hombre,51
145,Alexandra Carmona,32992512-9,86,mujer,18
146,Mairin Romero,85553386-3,26,hombre,55
147,Salom Orellana,45510769-5,83,hombre,97
148,Constanza Loyola,45740927-3,19,mujer,75
149,Alejandra Olguin,98849412-7,42,hombre,71
150,Alonso Carrasco,42300579-3,84,hombre,100
151,Cristobal Vallejos,84921010-6,90,mujer,12
152,Macarena Munoz,51248373-9,54,hombre,16
153,Andres Diaz,38628283-8,49,mujer,47
154,Esteban Guzman,78662700-1,95,mujer,101
155,Andrea Alburquenque,80703512-6,24,hombre,37
156,Sofia Flores,37142311-7,83,hombre,101
157,Katalina Gonzalez,97036167-7,17,mujer,66
158,Jesus Gonzalez,53967694-6,72,hombre,29
159,Antonia Olivares,23407008-8,51,hombre,27
160,Isidora Pacheco,76494450-k,15,hombre,79
161,Francisca Cayupan,56229978-5,43,hombre,85
162,Emiliano Figueroa,40269415-7,57,mujer,51
163,Alonso Dumont,80592689-9,18,hombre,76
164,Amaro Mondaca,52576933-k,87,mujer,90
165,Absalon Figueroa,71612139-9,32,mujer,13
166,Antonia Ortega,23632306-4,94,hombre,28
167,Josefa Alarcon,16413527-6,67,mujer,52
168,Alonso Farias,77489819-0,98,mujer,57
169,Matias Rodriguez,85301240-8,92,mujer,87
170,Alonso Toro,53721649-2,59,mujer,70
171,Andres Vergara,12655924-0,37,hombre,86
172,Noemi Castro,79154026-7,15,hombre,19
173,Adriana Jimenez,24115633-8,72,mujer,82
174,Miguel Martinez,34917249-6,47,hombre,82
175,Benjamin Cayul,85034590-2,94,hombre,79
176,Ignacio Mardones,19680912-0,69,hombre,25
177,Marcela Vargas,40455577-4,27,mujer,32
178,Andres Painenao,81401624-2,64,mujer,80
179,Gustavo Mena,40978316-3,95,mujer,60
180,Anibal Contreras,77189827-0,19,hombre,22
181,Javiera Vigouroux,13093741-1,38,hombre,61
182,Arturo Calabrano,26123513-7,82,hombre,71
183,Ignacio Huenuanca,12874915-2,28,hombre,31
184,Josue Donoso,15623590-3,32,mujer,32
185,Jesus Navarrete,45981588-0,44,hombre,43
186,Aaron Cares,82003178-4,86,mujer,101
187,Paz Munoz,29415476-0,75,hombre,27
188,Antonia Elguezabal,38631846-8,88,mujer,89
189,Kathalina San,61242043-2,45,mujer,15
190,Ignacio Delgado,28954972-2,80,hombre,85
191,Andres Abarca,88094734-6,14,hombre,25
192,Alejandro Sarmiento,69163174-5,55,mujer,24
193,Alexander Pena,53042462-6,64,mujer,1
194,Samanta Marinao,81330568-2,60,hombre,44
195,Paola Quezada,86679007-8,19,hombre,67
196,Ignacio Barra,83896534-2,98,hombre,39
197,Ariel Iturra,91210142-8,44,mujer,14
198,Daniel Zuniga,72570829-7,62,hombre,46
199,Catalina Jara,58044372-9,88,mujer,7
200,Venecia Campos,40640800-0,71,hombre,27
201,Fernanda Repol,73324033-4,84,mujer,32
202,Ignacia Galvez,80549244-9,89,mujer,19
203,Scarlett Pezoa,40070443-0,13,mujer,38
204,Jessica Reyes,68377701-3,59,hombre,13
205,De Rave,20228556-2,15,hombre,46
206,Daniel Blanco,16264932-9,36,mujer,53
207,Valentina Cancino,80580088-7,76,hombre,44
208,Claudio Carreno,84167281-k,39,mujer,0
209,Valentina Castillo,93044599-1,16,mujer,8
210,Gustavo Castro,47922722-5,22,mujer,24
211,Tamara Dealecio,41183684-3,50,mujer,101
212,Carla Farias,94947578-6,57,hombre,56
213,Fernanda Gajardo,33890329-4,59,mujer,46
214,Paula Gajardo,91085975-7,17,hombre,44
215,Isidora Garabito,96562711-1,95,mujer,10
216,Ignacia Gomez,52392092-8,79,mujer,30
217,Catalina Gonzalez,91938760-2,94,hombre,53
218,Daniela Gutierrez,98518861-0,90,hombre,82
219,Catalina Huentelaf,72275204-k,19,mujer,81
220,Bryan Jorquera,70388205-6,79,hombre,5
221,Diego Lopez,80924311-7,67,mujer,62
222,Matias Maldonado,73031326-8,79,hombre,21
223,Catalina Miranda,66970190-k,36,hombre,3
224,Catari Monsalves,81641085-1,30,mujer,7
225,Catalina Montero,17371278-2,92,mujer,46
226,Fernanda Montero,72447098-k,35,mujer,22
227,Matias Munoz,59161375-8,24,hombre,60
228,Javiera Peralta,14106853-9,30,mujer,83
229,Ariana Perez,94506083-2,57,hombre,46
230,Joaquin Pinto,24878659-0,45,hombre,14
231,Nelson Quezada,23937155-8,69,mujer,80
232,Ignacio Quiroz,79407634-0,68,hombre,58
233,Giancarlo Roblero,27083103-6,94,hombre,95
234,Barbara Sanchez,77757931-2,35,hombre,98
235,Paolo Silva,21290952-1,24,hombre,66
236,Emilio Soto,79695896-0,89,hombre,7
237,Yacyara Soza,89512502-4,22,hombre,75
238,Jacob Torres,31256887-k,36,mujer,66
239,Catalina Urquiza,46067685-1,83,mujer,58
240,Alejandra Valdes,58143457-k,85,mujer,99
241,Catalina Valencia,69719019-8,57,mujer,96
242,Catalina Vasquez,81207716-3,49,hombre,40
243,Juan Veas,92394961-5,22,hombre,76
244,Yael Vera,99149710-2,91,hombre,74
245,Karla Villablanca,92851961-9,63,hombre,67
246,Diego Villegas,22637365-9,64,hombre,71
247,Javiera Alarcon,41694611-6,68,mujer,59
248,Vicente Alarcon,28231652-8,19,hombre,84
249,Benjamin Ancacura,97321798-4,86,mujer,86
250,Alan Armijo,35773530-0,47,mujer,10
251,Daniela Arrao,73745994-2,50,hombre,31
252,Kharla Astudillo,32644502-9,99,mujer,66
253,Sayuri Bahamondes,62220169-0,85,hombre,51
254,Dylan Campos,69020528-9,87,mujer,7
255,Angelo Caniunir,62887150-7,12,mujer,94
256,Nazaret Carreno,16687104-2,91,mujer,74
257,Fabiano Carte,51630030-2,52,hombre,30
258,Mateo Contreras,47249752-9,50,mujer,40
259,Martina Cuevas,55868629-4,70,mujer,29
260,Agustin Farias,75766984-6,36,mujer,4
261,Isidora Galvez,32817993-8,30,hombre,11
262,Gabriela Garay,83538271-0,22,hombre,54
263,Valentina Gomez,80628376-2,48,hombre,45
264,Bastian Lagos,44422964-0,35,hombre,43
265,Esteban Leiva,31691559-0,72,mujer,13
266,Barbara Lincopion,31457093-6,74,hombre,50
267,Loreto Luna,61863167-2,48,mujer,3
268,Matias Marillan,91051274-9,32,hombre,69
269,Matias Momberg,81019249-6,96,mujer,28
270,Benjamin Mondaca,75106425-k,85,hombre,77
271,Andres Mora,52581344-4,34,mujer,6
272,Josue Moreno,13700503-4,28,mujer,11
273,Krishna Ordenez,45677093-2,31,hombre,12
274,Iahn Oyarce,18912034-6,42,hombre,29
275,Trinidad Peralta,22876040-4,16,mujer,8
276,Constanza Quezada,29742884-5,51,hombre,57
277,Genesis Ramirez,13295853-k,15,hombre,28
278,Katherine Retamal,22252251-k,94,hombre,16
279,Yamna Reyes,53642790-2,48,mujer,91
280,Fernanda Salinas,83481742-k,85,hombre,37
281,Benjamin Sanchez,84095044-1,78,hombre,72
282,Francisca Sanchez,98544321-1,55,mujer,82
283,Yaen Sanhueza,96404014-1,36,mujer,10
284,Benjamin Soto,37731534-0,28,mujer,3
285,Kathya Spedaletti,55676647-9,97,hombre,67
286,Bastian Tapia,48766480-4,69,hombre,22
287,Fernanda Vargas,15119459-1,16,hombre,10
288,Camilo Zambrano,76849115-1,13,mujer,54
289,Barbara Zuniga,15765031-9,10,hombre,10
290,Camila Aburto,32726853-8,26,hombre,17
291,Valentina Aliaga,59260036-6,96,hombre,77
292,Camila Arancibia,19130484-5,36,hombre,17
293,Javier Aravena,57325256-k,45,hombre,94
294,Diego Arce,80356838-3,93,mujer,49
295,Javiera Barrera,10119008-0,95,hombre,99
296,Nayelit Brantes,57437538-k,41,hombre,86
297,Tamara Candia,80092681-5,24,hombre,9
298,Dania Carreno,40503382-8,29,mujer,44
299,Constanza Castillo,14292252-5,55,hombre,35
300,Constanza Diaz,24215497-5,72,hombre,90
301,Jose Espina,60987705-7,19,mujer,55
302,Rodrigo Figueroa,59959821-9,10,hombre,48
303,Fernanda Gonzslez,97418193-2,77,hombre,14
304,Daniela Habibe,88034198-7,36,hombre,42
305,Gloria Herrera,56725663-4,66,hombre,80
306,Thaira Hormazabal,54157127-2,74,mujer,9
307,Kiomara Huinca,48979148-k,13,mujer,78
308,Barbara Jara,30492842-5,21,mujer,101
309,Javiera Jaramillo,84671162-7,48,mujer,31
310,Maria Martinez,57342278-3,84,mujer,62
311,Tiare Miranda,73540572-1,55,hombre,84
312,Constanza Morales,48762156-0,80,hombre,68
313,Sebastian Moya,58509457-9,89,mujer,26
314,Fabian Munoz,58188294-7,12,mujer,6
315,Valentina Munoz,25844754-9,58,hombre,27
316,Lucas Nunez,29903675-8,95,hombre,54
317,Vania Pena,66844166-1,45,hombre,18
318,Dylan Perez,32273643-6,77,hombre,10
319,Damary Pichulman,80353279-6,68,hombre,0
320,Francisca Pinto,29622397-2,26,hombre,53
321,Danae Poblete,78897889-8,94,mujer,29
322,Paula Quintrel,58846331-1,60,mujer,75
323,Camilo Roblero,71652443-4,78,mujer,62
324,Vicente Saez,90243628-6,36,mujer,44
325,Crichna Salazar,84081575-7,19,mujer,26
326,Elias Sanzana,14114400-6,87,mujer,31
327,Esteban Schroder,83905334-7,30,hombre,48
328,Nicolas Soto,89146700-1,46,hombre,6
329,Nicolas Urriola,29622980-6,20,mujer,24
330,Aylin Valdes,20168747-0,69,mujer,1
331,Damaris Venegas,38725184-7,30,hombre,55
332,Benjamin Vera,28450511-5,96,mujer,66
